Datum;DAX
17.01.1997;3006,87
20.01.1997;2999,19
21.01.1997;3000,66
22.01.1997;3026,63
23.01.1997;3037,28
24.01.1997;2982,63
27.01.1997;2992,55
28.01.1997;3028,27
29.01.1997;2997,95
30.01.1997;3018,58
31.01.1997;3037,7
03.02.1997;3064,7
04.02.1997;3067,48
05.02.1997;3114,73
06.02.1997;3124,78
07.02.1997;3161,36
10.02.1997;3185,72
11.02.1997;3191,45
12.02.1997;3211,01
13.02.1997;3256,86
14.02.1997;3249,17
17.02.1997;3260,3
18.02.1997;3230,83
19.02.1997;3209,04
20.02.1997;3197,09
21.02.1997;3203,79
24.02.1997;3180,63
25.02.1997;3233,34
26.02.1997;3245,02
27.02.1997;3272,58
28.02.1997;3261,04
03.03.1997;3258,74
04.03.1997;3345,09
05.03.1997;3375,45
06.03.1997;3396,55
07.03.1997;3419,51
10.03.1997;3426,77
11.03.1997;3430,95
12.03.1997;3382,4
13.03.1997;3367,82
14.03.1997;3404,29
17.03.1997;3337,11
18.03.1997;3289,59
19.03.1997;3305,72
20.03.1997;3247,03
21.03.1997;3288,52
24.03.1997;3302,57
25.03.1997;3374,93
26.03.1997;3439,22
27.03.1997;3407,83
28.03.1997;3407,83
31.03.1997;3407,83
01.04.1997;3281,46
02.04.1997;3210,94
03.04.1997;3212,82
04.04.1997;3235,35
07.04.1997;3342,77
08.04.1997;3328,13
09.04.1997;3364,76
10.04.1997;3352,58
11.04.1997;3319,24
14.04.1997;3297,52
15.04.1997;3369,26
16.04.1997;3347,54
17.04.1997;3361,8
18.04.1997;3361,2
21.04.1997;3328,41
22.04.1997;3348,9
23.04.1997;3366,87
24.04.1997;3396,49
25.04.1997;3357,57
28.04.1997;3372,96
29.04.1997;3425,86
30.04.1997;3438,09
01.05.1997;3438,09
02.05.1997;3491,08
05.05.1997;3565,69
06.05.1997;3548,52
07.05.1997;3537,45
08.05.1997;3537,45
09.05.1997;3533,21
12.05.1997;3593,14
13.05.1997;3559,29
14.05.1997;3588,57
15.05.1997;3564,85
16.05.1997;3569,26
19.05.1997;3569,26
20.05.1997;3516,2
21.05.1997;3600,4
22.05.1997;3575,44
23.05.1997;3621,72
26.05.1997;3669,31
27.05.1997;3665,43
28.05.1997;3626,6
29.05.1997;3635,38
30.05.1997;3562,73
02.06.1997;3596,4
03.06.1997;3655,59
04.06.1997;3651,59
05.06.1997;3684,6
06.06.1997;3700,53
09.06.1997;3668,61
10.06.1997;3671,16
11.06.1997;3671,87
12.06.1997;3737,16
13.06.1997;3752,37
16.06.1997;3750,02
17.06.1997;3721,18
18.06.1997;3730,56
19.06.1997;3777,56
20.06.1997;3788,54
23.06.1997;3748,79
24.06.1997;3761,07
25.06.1997;3819,52
26.06.1997;3820,16
27.06.1997;3809,92
30.06.1997;3766,89
01.07.1997;3834,84
02.07.1997;3867,53
03.07.1997;3939,73
04.07.1997;3946,73
07.07.1997;4003,35
08.07.1997;4030,1
09.07.1997;4026,97
10.07.1997;4000,65
11.07.1997;4074,3
14.07.1997;4142,19
15.07.1997;4139,68
16.07.1997;4223,69
17.07.1997;4203,91
18.07.1997;4131,94
21.07.1997;4139,96
22.07.1997;4297,64
23.07.1997;4384,82
24.07.1997;4320,52
25.07.1997;4368,54
28.07.1997;4400,3
29.07.1997;4377,7
30.07.1997;4458,66
31.07.1997;4405,52
01.08.1997;4336,98
04.08.1997;4302,5
05.08.1997;4325,86
06.08.1997;4364,25
07.08.1997;4428,08
08.08.1997;4342,31
11.08.1997;4333,15
12.08.1997;4377,51
13.08.1997;4237,06
14.08.1997;4195,53
15.08.1997;4077,59
18.08.1997;4080,55
